K,noise_percent,iterations,converged,initial_acc,final_acc
10,35.0,2,True,0.14814814814814814,0.14814814814814814
10,35.0,2,True,0.1111111111111111,0.1111111111111111
10,35.0,3,True,0.14814814814814814,0.18518518518518517
10,35.0,2,True,0.13580246913580246,0.13580246913580246
10,35.0,2,True,0.09876543209876543,0.09876543209876543
10,35.0,4,True,0.13580246913580246,0.1111111111111111
10,35.0,2,True,1.0,1.0
10,35.0,9,True,0.16049382716049382,0.06172839506172839
10,35.0,3,True,0.12345679012345678,0.19753086419753085
10,35.0,2,True,0.13580246913580246,0.13580246913580246
10,35.0,2,True,0.04938271604938271,0.04938271604938271
10,35.0,2,True,0.1728395061728395,0.1728395061728395
10,35.0,4,True,0.09876543209876543,0.13580246913580246
10,35.0,7,True,0.12345679012345678,0.1111111111111111
10,35.0,8,True,0.07407407407407407,0.09876543209876543
10,35.0,12,True,0.09876543209876543,0.06172839506172839
10,35.0,3,True,0.09876543209876543,0.09876543209876543
10,35.0,5,True,0.13580246913580246,0.19753086419753085
10,40.0,3,True,0.13580246913580246,0.1111111111111111
10,40.0,2,True,0.14814814814814814,0.14814814814814814
10,40.0,2,True,0.12345679012345678,0.12345679012345678
10,40.0,7,True,0.04938271604938271,0.16049382716049382
10,40.0,5,True,0.14814814814814814,0.07407407407407407
10,40.0,2,True,0.09876543209876543,0.09876543209876543
10,40.0,4,True,0.09876543209876543,0.14814814814814814
10,40.0,2,True,0.07407407407407407,0.07407407407407407
10,40.0,6,True,0.18518518518518517,0.07407407407407407
10,40.0,5,True,0.12345679012345678,0.1728395061728395
10,40.0,2,True,0.1111111111111111,0.1111111111111111
10,40.0,4,True,0.1111111111111111,0.08641975308641975
10,40.0,3,True,0.06172839506172839,0.09876543209876543
10,40.0,4,True,0.14814814814814814,0.2222222222222222
10,40.0,7,True,0.12345679012345678,0.12345679012345678
10,40.0,5,True,0.19753086419753085,0.07407407407407407
10,40.0,3,True,0.07407407407407407,0.08641975308641975
10,40.0,2,True,0.09876543209876543,0.09876543209876543
10,40.0,3,True,0.12345679012345678,0.12345679012345678
10,40.0,5,True,0.08641975308641975,0.12345679012345678
10,40.0,5,True,0.09876543209876543,0.1111111111111111
10,40.0,2,True,0.09876543209876543,0.09876543209876543
10,40.0,6,True,0.16049382716049382,0.13580246913580246
10,40.0,9,True,0.1111111111111111,0.09876543209876543
10,40.0,2,True,0.12345679012345678,0.12345679012345678
10,40.0,2,True,0.13580246913580246,0.13580246913580246
10,40.0,5,True,0.06172839506172839,0.12345679012345678
10,40.0,5,True,0.18518518518518517,0.08641975308641975
10,40.0,3,True,0.12345679012345678,0.12345679012345678
10,40.0,6,True,0.13580246913580246,0.09876543209876543
10,40.0,3,True,0.1111111111111111,0.06172839506172839
10,40.0,3,True,0.1111111111111111,0.1111111111111111
10,40.0,3,True,0.04938271604938271,0.12345679012345678
10,40.0,6,True,0.08641975308641975,0.08641975308641975
10,40.0,7,True,0.14814814814814814,0.09876543209876543
10,40.0,2,True,0.1111111111111111,0.1111111111111111
10,40.0,2,True,0.037037037037037035,0.037037037037037035
10,40.0,2,True,0.1111111111111111,0.1111111111111111
10,40.0,4,True,0.12345679012345678,0.04938271604938271
10,40.0,2,True,0.09876543209876543,0.09876543209876543
10,40.0,3,True,0.1728395061728395,0.13580246913580246
10,40.0,4,True,0.09876543209876543,0.09876543209876543
10,40.0,4,True,0.14814814814814814,0.04938271604938271
10,40.0,3,True,0.09876543209876543,0.09876543209876543
10,40.0,5,True,0.14814814814814814,0.12345679012345678
10,40.0,3,True,0.09876543209876543,0.18518518518518517
10,40.0,2,True,0.08641975308641975,0.08641975308641975
10,40.0,4,True,0.12345679012345678,0.13580246913580246
10,40.0,15,True,0.07407407407407407,0.20987654320987653
10,40.0,3,True,0.07407407407407407,0.08641975308641975
10,45.0,2,True,0.037037037037037035,0.037037037037037035
10,45.0,8,True,0.16049382716049382,0.18518518518518517
10,45.0,4,True,0.14814814814814814,0.12345679012345678
10,45.0,2,True,0.13580246913580246,0.13580246913580246
10,45.0,2,True,0.13580246913580246,0.13580246913580246
10,45.0,3,True,0.14814814814814814,0.19753086419753085
10,45.0,4,True,0.14814814814814814,0.09876543209876543
10,45.0,9,True,0.1111111111111111,0.1111111111111111
10,45.0,4,True,0.09876543209876543,0.024691358024691357
10,45.0,10,True,0.04938271604938271,0.08641975308641975
10,45.0,4,True,0.1111111111111111,0.16049382716049382
10,45.0,12,True,0.1111111111111111,0.04938271604938271
10,45.0,5,True,0.1728395061728395,0.12345679012345678
10,45.0,5,True,0.12345679012345678,0.07407407407407407
10,45.0,5,True,0.08641975308641975,0.07407407407407407
10,45.0,2,True,0.14814814814814814,0.14814814814814814
10,45.0,5,True,0.13580246913580246,0.06172839506172839
10,45.0,3,True,0.13580246913580246,0.1111111111111111
10,45.0,2,True,0.1728395061728395,0.1728395061728395
10,45.0,5,True,0.14814814814814814,0.06172839506172839
10,45.0,3,True,0.08641975308641975,0.07407407407407407
10,45.0,4,True,0.16049382716049382,0.08641975308641975
10,45.0,9,True,0.1111111111111111,0.08641975308641975
10,45.0,4,True,0.13580246913580246,0.19753086419753085
10,45.0,2,True,0.1111111111111111,0.1111111111111111
10,45.0,5,True,0.1111111111111111,0.07407407407407407
10,45.0,5,True,0.13580246913580246,0.13580246913580246
10,45.0,2,True,1.0,1.0
10,45.0,4,True,0.06172839506172839,0.1111111111111111
10,45.0,2,True,0.1111111111111111,0.1111111111111111
10,45.0,2,True,0.09876543209876543,0.09876543209876543
10,45.0,3,True,0.07407407407407407,0.16049382716049382
10,45.0,4,True,0.04938271604938271,0.07407407407407407
10,45.0,5,True,0.12345679012345678,0.07407407407407407
10,45.0,2,True,0.08641975308641975,0.08641975308641975
10,45.0,2,True,0.07407407407407407,0.07407407407407407
10,45.0,6,True,0.13580246913580246,0.13580246913580246
10,45.0,2,True,0.14814814814814814,0.14814814814814814
10,45.0,5,True,0.1111111111111111,0.18518518518518517
10,45.0,6,True,0.07407407407407407,0.08641975308641975
10,45.0,2,True,0.1728395061728395,0.1728395061728395
10,45.0,2,True,0.12345679012345678,0.12345679012345678
10,45.0,5,True,0.09876543209876543,0.09876543209876543
10,45.0,5,True,0.14814814814814814,0.1728395061728395
10,45.0,4,True,0.1111111111111111,0.20987654320987653
10,45.0,3,True,0.20987654320987653,0.09876543209876543
10,45.0,4,True,0.1111111111111111,0.037037037037037035
10,45.0,12,True,0.09876543209876543,0.07407407407407407
10,45.0,4,True,0.04938271604938271,0.14814814814814814
10,45.0,2,True,0.18518518518518517,0.18518518518518517
10,50.0,5,True,0.1111111111111111,0.09876543209876543
10,50.0,2,True,0.18518518518518517,0.18518518518518517
10,50.0,2,True,0.16049382716049382,0.16049382716049382
10,50.0,9,True,0.08641975308641975,0.07407407407407407
10,50.0,2,True,0.06172839506172839,0.06172839506172839
10,50.0,4,True,0.13580246913580246,0.09876543209876543
10,50.0,5,True,0.14814814814814814,0.07407407407407407
10,50.0,8,True,0.06172839506172839,0.06172839506172839
10,50.0,3,True,0.06172839506172839,0.14814814814814814
10,50.0,2,True,0.16049382716049382,0.16049382716049382
10,50.0,4,True,0.12345679012345678,0.07407407407407407
10,50.0,4,True,0.08641975308641975,0.07407407407407407
10,50.0,12,True,0.16049382716049382,0.14814814814814814
10,50.0,3,True,0.09876543209876543,0.12345679012345678
10,50.0,2,True,0.13580246913580246,0.13580246913580246
