M,noise_percent,readout,ridge_solve_seconds,digit_cell_accuracy,coincidence_recall,coincidence_accuracy,coincidence_correlation,feedback_overlap_fraction,feedback_target_probability,feedback_top1_accuracy
500,2.0,regression,0.33780956268310547,0.12185185185185166,0.621604938271605,0.7159104938271603,0.23736095548482464,0.31146666666666667,0.12066368115207697,0.22
500,2.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,5.0,regression,0.33780956268310547,0.11123456790123433,0.959382716049383,0.3776820987654325,0.18322887694762968,0.3202,0.002728118931114381,0.0
500,5.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,10.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3194,0.0020733615784527064,0.0
500,10.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,15.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.32166666666666643,0.002372205143870092,0.0
500,15.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,20.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987443,0.31519999999999987,0.001042924966516248,0.0
500,20.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,30.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.3195333333333333,0.0015118847405606833,0.0
500,30.0,attention,0.33780956268310547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,50.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31739999999999996,0.002026588488959659,0.0
500,50.0,attention,0.33780956268310547,0.11172839506172844,0.3451543209876544,0.711246913580247,0.06656721150950637,0.24499999999999988,0.0009588619886212936,0.0
500,75.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31446666666666656,0.0015144468988249609,0.01
500,75.0,attention,0.33780956268310547,0.11185185185185187,0.36753086419753084,0.6925462962962962,0.06429554471507833,0.23973333333333333,0.002101041468118464,0.01
500,100.0,regression,0.33780956268310547,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.3231999999999999,0.003062172293857603,0.0
500,100.0,attention,0.33780956268310547,0.11370370370370372,0.4901234567901237,0.6286635802469135,0.08416955384707572,0.25806666666666667,0.0009404863376405402,0.0
700,0.0,regression,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,0.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,2.0,regression,0.028467655181884766,0.13308641975308633,0.5492283950617283,0.6835802469135804,0.16516496573787215,0.28600000000000003,0.009102210514565341,0.02
700,2.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,5.0,regression,0.028467655181884766,0.11185185185185162,0.9589814814814812,0.3745308641975315,0.1810957908838609,0.3165333333333334,0.0011044270044531896,0.0
700,5.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,10.0,regression,0.028467655181884766,0.11111111111111088,0.999753086419753,0.3501358024691365,0.19235947357491662,0.3180666666666667,0.0011854116890734666,0.0
700,10.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,15.0,regression,0.028467655181884766,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3212666666666667,0.0013592773968231758,0.0
700,15.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,20.0,regression,0.028467655181884766,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31893333333333324,0.001491349680478618,0.0
700,20.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,30.0,regression,0.028467655181884766,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3181333333333334,0.0026815870862961504,0.01
700,30.0,attention,0.028467655181884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,50.0,regression,0.028467655181884766,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987443,0.31566666666666665,0.0007020202712672236,0.0
700,50.0,attention,0.028467655181884766,0.11012345679012342,0.34839506172839513,0.7101481481481483,0.06801056091038493,0.2432666666666668,0.0005235965934431724,0.0
