clue_fraction,target,coinc_acc,coinc_sens,coinc_spec,unk_acc_initial_guess,unk_acc_dynamics_coinc,unk_acc_numpy_conflict_mask,exact_initial,exact_dynamics,exact_numpy
0.3,12,0.8040123456790124,0.345679012345679,0.8549382716049383,0.10526315789473684,0.15789473684210525,0.14035087719298245,0,0,0
0.3,108,0.8095679012345679,0.20679012345679013,0.8765432098765432,0.10526315789473684,0.12280701754385964,0.10526315789473684,0,0,0
0.3,111,0.8320987654320988,0.20987654320987653,0.9012345679012346,0.14035087719298245,0.10526315789473684,0.12280701754385964,0,0,0
0.3,100,0.8901234567901235,0.6141975308641975,0.9207818930041153,0.19298245614035087,1.0,1.0,0,1,1
0.3,41,0.8669753086419754,0.6080246913580247,0.8957475994513031,0.24561403508771928,1.0,1.0,0,1,1
0.3,22,0.7935185185185185,0.25925925925925924,0.852880658436214,0.14035087719298245,0.08771929824561403,0.15789473684210525,0,0,0
0.3,103,1.0,1.0,1.0,0.9824561403508771,1.0,1.0,0,1,1
0.3,189,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,177,0.9,0.6018518518518519,0.9331275720164609,0.3684210526315789,1.0,1.0,0,1,1
0.3,57,0.7972222222222223,0.28703703703703703,0.8539094650205762,0.14035087719298245,0.14035087719298245,0.05263157894736842,0,0,0
0.3,184,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,149,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,45,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,143,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,9,0.9851851851851852,0.9629629629629629,0.9876543209876543,0.8947368421052632,1.0,1.0,0,1,1
0.3,172,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,77,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,43,0.846604938271605,0.4660493827160494,0.8888888888888888,0.12280701754385964,1.0,0.19298245614035087,0,1,0
0.3,92,0.9561728395061728,0.8734567901234568,0.9653635116598079,0.5789473684210527,1.0,1.0,0,1,1
0.3,118,0.7978395061728395,0.24382716049382716,0.8593964334705075,0.08771929824561403,0.12280701754385964,0.03508771929824561,0,0,0
0.3,6,0.8632716049382716,0.49691358024691357,0.9039780521262003,0.2982456140350877,1.0,1.0,0,1,1
0.3,128,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,24,0.9296296296296296,0.8611111111111112,0.9372427983539094,0.47368421052631576,1.0,1.0,0,1,1
0.3,74,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.3,84,0.8067901234567901,0.23148148148148148,0.870713305898491,0.15789473684210525,0.15789473684210525,0.10526315789473684,0,0,0
0.35,98,0.8179012345679012,0.2932098765432099,0.8762002743484225,0.1509433962264151,0.09433962264150944,0.07547169811320754,0,0,0
0.35,10,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.35,101,0.9549382716049383,0.8240740740740741,0.9694787379972565,0.49056603773584906,1.0,1.0,0,1,1
0.35,18,0.9978395061728395,1.0,0.997599451303155,1.0,1.0,1.0,1,1,1
0.35,43,0.8064814814814815,0.30246913580246915,0.862482853223594,0.09433962264150944,0.05660377358490566,0.07547169811320754,0,0,0
0.35,97,0.9978395061728395,1.0,0.997599451303155,1.0,1.0,1.0,1,1,1
0.35,60,0.9990740740740741,1.0,0.9989711934156379,1.0,1.0,1.0,1,1,1
0.35,57,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.35,119,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.35,146,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.35,23,0.9737654320987654,0.9506172839506173,0.9763374485596708,0.8679245283018868,1.0,1.0,0,1,1
0.35,122,0.9962962962962963,1.0,0.9958847736625515,1.0,1.0,1.0,1,1,1
0.35,36,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.35,109,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.35,159,0.9827160493827161,0.9382716049382716,0.9876543209876543,0.9245283018867925,1.0,1.0,0,1,1
0.35,32,0.9842592592592593,0.9351851851851852,0.9897119341563786,0.9433962264150944,1.0,1.0,0,1,1
0.35,181,0.9947530864197531,0.9753086419753086,0.9969135802469136,1.0,1.0,1.0,1,1,1
0.35,117,0.8040123456790124,0.24691358024691357,0.8659122085048011,0.09433962264150944,0.18867924528301888,0.11320754716981132,0,0,0
