density,noise_percent,iterations,converged,initial_acc,final_acc
0.002,45.0,5,True,0.1111111111111111,0.1111111111111111
0.002,45.0,4,True,0.13580246913580246,0.08641975308641975
0.002,45.0,5,True,0.13580246913580246,0.07407407407407407
0.002,45.0,13,True,0.1111111111111111,0.08641975308641975
0.002,45.0,16,True,0.1111111111111111,0.14814814814814814
0.002,45.0,10,True,0.12345679012345678,0.12345679012345678
0.002,45.0,13,True,0.04938271604938271,0.1111111111111111
0.002,45.0,8,True,0.07407407407407407,0.13580246913580246
0.002,45.0,6,True,0.12345679012345678,0.07407407407407407
0.002,45.0,7,True,0.08641975308641975,0.16049382716049382
0.002,45.0,6,True,0.13580246913580246,0.13580246913580246
0.002,45.0,3,True,0.09876543209876543,0.1111111111111111
0.002,45.0,9,True,0.09876543209876543,0.09876543209876543
0.002,45.0,13,True,0.13580246913580246,0.07407407407407407
0.002,45.0,4,True,0.09876543209876543,0.1111111111111111
0.002,45.0,6,True,0.07407407407407407,0.037037037037037035
0.002,45.0,18,True,0.13580246913580246,0.1728395061728395
0.002,45.0,5,True,0.14814814814814814,0.12345679012345678
0.002,45.0,6,True,0.1111111111111111,0.12345679012345678
0.002,45.0,14,True,0.12345679012345678,0.16049382716049382
0.002,45.0,3,True,0.06172839506172839,0.1111111111111111
0.002,45.0,7,True,0.13580246913580246,0.07407407407407407
0.002,45.0,7,True,0.09876543209876543,0.1111111111111111
0.002,45.0,12,True,0.16049382716049382,0.09876543209876543
0.002,45.0,7,True,0.14814814814814814,0.16049382716049382
0.002,45.0,5,True,0.16049382716049382,0.08641975308641975
0.002,45.0,9,True,0.1111111111111111,0.07407407407407407
0.002,45.0,8,True,0.13580246913580246,0.04938271604938271
0.002,45.0,6,True,0.06172839506172839,0.16049382716049382
0.002,45.0,5,True,0.13580246913580246,0.13580246913580246
0.002,45.0,16,True,0.08641975308641975,0.1111111111111111
0.002,45.0,6,True,0.14814814814814814,0.1111111111111111
0.002,45.0,9,True,0.13580246913580246,0.12345679012345678
0.002,45.0,4,True,0.09876543209876543,0.08641975308641975
0.002,45.0,4,True,0.08641975308641975,0.14814814814814814
0.002,45.0,6,True,0.1111111111111111,0.08641975308641975
0.002,45.0,10,True,0.08641975308641975,0.13580246913580246
0.002,45.0,8,True,0.08641975308641975,0.1111111111111111
0.002,45.0,6,True,0.12345679012345678,0.12345679012345678
0.002,45.0,14,True,0.12345679012345678,0.16049382716049382
0.002,45.0,6,True,0.037037037037037035,0.12345679012345678
0.002,45.0,3,True,0.1111111111111111,0.08641975308641975
0.002,45.0,6,True,0.12345679012345678,0.04938271604938271
0.002,45.0,4,True,0.1111111111111111,0.2222222222222222
0.002,45.0,11,True,0.08641975308641975,0.12345679012345678
0.002,45.0,8,True,0.08641975308641975,0.19753086419753085
0.002,50.0,9,True,0.06172839506172839,0.07407407407407407
0.002,50.0,8,True,0.1111111111111111,0.13580246913580246
0.002,50.0,6,True,0.07407407407407407,0.13580246913580246
0.002,50.0,5,True,0.18518518518518517,0.1111111111111111
0.002,50.0,8,True,0.13580246913580246,0.04938271604938271
0.002,50.0,7,True,0.09876543209876543,0.14814814814814814
0.002,50.0,8,True,0.13580246913580246,0.19753086419753085
0.002,50.0,3,True,0.13580246913580246,0.13580246913580246
0.002,50.0,5,True,0.09876543209876543,0.19753086419753085
0.002,50.0,5,True,0.1111111111111111,0.08641975308641975
0.002,50.0,4,True,0.13580246913580246,0.09876543209876543
0.002,50.0,8,True,0.18518518518518517,0.1111111111111111
0.002,50.0,14,True,0.037037037037037035,0.06172839506172839
0.002,50.0,4,True,0.13580246913580246,0.1728395061728395
0.002,50.0,12,True,0.18518518518518517,0.08641975308641975
0.002,50.0,4,True,0.12345679012345678,0.08641975308641975
0.002,50.0,4,True,0.1111111111111111,0.12345679012345678
0.002,50.0,6,True,0.1111111111111111,0.1111111111111111
0.002,50.0,16,True,0.1111111111111111,0.16049382716049382
0.002,50.0,13,True,0.08641975308641975,0.09876543209876543
0.002,50.0,6,True,0.1111111111111111,0.06172839506172839
