sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.3,9,0.25333333333333335,0.5666666666666667
0.3,2,0.09333333333333334,0.5866666666666667
0.3,7,0.20666666666666667,0.5933333333333334
0.3,5,0.2733333333333333,0.6
0.3,8,0.08666666666666667,0.6533333333333333
0.3,6,0.5666666666666667,0.62
0.3,9,0.24666666666666667,0.5133333333333333
0.3,9,0.3333333333333333,0.6533333333333333
0.3,2,0.17333333333333334,0.7066666666666667
0.3,3,0.30666666666666664,0.66
0.3,9,0.3,0.5266666666666666
0.3,3,0.2866666666666667,0.66
0.3,9,0.5866666666666667,0.5733333333333334
0.3,6,0.10666666666666667,0.5733333333333334
0.3,3,0.17333333333333334,0.6666666666666666
0.3,5,0.08666666666666667,0.6066666666666667
0.3,8,0.02,0.68
0.3,6,0.6933333333333334,0.6066666666666667
0.3,3,0.013333333333333334,0.6866666666666666
0.3,7,0.26,0.5533333333333333
0.3,9,0.06,0.5466666666666666
0.3,3,0.26,0.64
0.3,3,0.54,0.66
0.3,5,0.1,0.6733333333333333
0.3,1,0.3466666666666667,0.5733333333333334
0.3,3,0.25333333333333335,0.7
0.3,7,0.18,0.6866666666666666
0.3,7,0.26666666666666666,0.6866666666666666
0.3,2,0.22,0.6666666666666666
0.3,9,0.24,0.5933333333333334
0.3,1,0.4866666666666667,0.6
0.3,1,0.5533333333333333,0.5933333333333334
0.3,7,0.2866666666666667,0.6133333333333333
