config,dataset,M,img_dim,sigma,target,initial_overlap,cleaned_overlap,exact,recon_corr_initial,recon_corr_cleaned
MNIST M=200 (baseline),mnist,200,784,0.5,19,0.46,1.0,1,0.7977750244477974,0.9999999999998499
MNIST M=200 (baseline),mnist,200,784,0.5,43,0.4866666666666667,1.0,1,0.6492213082078301,0.9999999999995451
MNIST M=200 (baseline),mnist,200,784,0.5,9,0.3933333333333333,0.24,0,0.6703037362870957,0.21065111844768997
MNIST M=200 (baseline),mnist,200,784,0.5,142,0.3466666666666667,0.23333333333333334,0,0.7171918973068693,0.40499104935979807
MNIST M=200 (baseline),mnist,200,784,0.5,103,0.38666666666666666,1.0,1,0.6646587149585568,0.9999999999995699
MNIST M=200 (baseline),mnist,200,784,0.5,56,0.48,1.0,1,0.5982226568494108,0.9999999999993835
MNIST M=200 (baseline),mnist,200,784,0.5,6,0.36666666666666664,0.2,0,0.6640887807427087,0.42620961737470076
MNIST M=200 (baseline),mnist,200,784,0.5,22,0.30666666666666664,0.17333333333333334,0,0.6620119298729472,0.4994485258070428
MNIST M=200 (baseline),mnist,200,784,0.5,12,0.38,1.0,1,0.6054497476108253,0.9999999999997279
MNIST M=200 (baseline),mnist,200,784,0.5,93,0.32,0.22,0,0.5147048533250165,0.27679060910448755
